Record_ID,Product_ID,Product_Category,Sales_Date,Store_Location,Supplier,Quantity_Sold,Inventory_Level,Order_Quantity,Lead_Time_Days,Unit_Price_INR,Promotion,Sales_Value_INR,Inventory_Turnover_Proxy,Stockout_Risk_Flag,Weekly_Demand,Quantity_Sold_Normalized,Inventory_Level_Normalized,Lead_Time_Days_Normalized,Unit_Price_INR_Normalized
1,P008,Stationery,2026-02-19,Ahmedabad,Supplier C,77.0,172.0,51.0,3.0,3525.65,No,271475.05,0.448,Normal,52.1,0.644,0.378,0.099,0.48
2,P005,Beauty,2026-01-19,Surat,Supplier A,53.0,242.0,116.0,7.0,1593.08,Yes,84433.24,0.219,Normal,67.9,0.441,0.538,0.298,0.206
3,P002,Grocery,2026-02-26,Pune,Supplier A,25.0,223.0,98.0,9.0,1592.31,No,39807.75,0.112,Normal,67.8,0.203,0.494,0.398,0.206
4,P007,Home,2026-01-22,Mumbai,Supplier D,3.0,357.0,88.0,5.0,4831.27,No,14493.81,0.008,Normal,34.97,0.017,0.8,0.199,0.665
5,P004,Stationery,2026-02-20,Pune,Supplier A,72.0,308.0,67.0,8.0,1579.76,No,113742.72,0.234,Normal,58.87,0.602,0.688,0.348,0.204
6,P004,Stationery,2026-01-23,Mumbai,Supplier B,93.0,255.0,237.0,9.0,629.26,No,58521.18,0.365,Normal,58.87,0.78,0.567,0.398,0.069
7,P008,Grocery,2026-01-19,Nashik,Supplier A,57.5,132.0,89.0,11.0,430.86,No,24774.45,0.436,Normal,52.1,0.479,0.287,0.497,0.041
8,P008,Grocery,2026-03-11,Nashik,Supplier A,72.0,82.0,20.0,4.0,3646.77,No,262567.44,0.878,Normal,52.1,0.602,0.173,0.149,0.497
9,P005,Home,2026-01-06,Mumbai,Supplier B,51.0,300.0,171.0,4.0,1138.95,No,58086.45,0.17,Normal,67.9,0.424,0.67,0.149,0.142
10,P002,Electronics,2026-01-06,Nashik,Supplier A,61.0,400.0,84.0,12.0,2033.82,No,124063.02,0.152,Normal,67.8,0.508,0.897,0.547,0.269
11,P007,Stationery,2026-03-12,Ahmedabad,Supplier A,57.5,358.0,137.0,5.0,4018.24,No,231048.8,0.161,Normal,34.97,0.479,0.802,0.199,0.55
12,P008,Home,2026-01-30,Ahmedabad,Supplier D,36.0,298.0,244.0,1.0,4208.54,No,151507.44,0.121,Normal,52.1,0.297,0.665,0.0,0.577
13,P001,Stationery,2026-01-17,Pune,Supplier C,97.0,315.0,58.0,14.0,1142.3,No,110803.1,0.308,Normal,69.08,0.814,0.704,0.646,0.142
14,P002,Electronics,2026-02-12,Nashik,Supplier A,115.0,93.0,229.0,3.0,2202.23,Yes,253256.45,1.237,High,67.8,0.966,0.198,0.099,0.292
15,P007,Home,2026-02-16,Mumbai,Supplier C,26.0,415.0,54.0,11.0,3837.77,No,99782.02,0.063,Normal,34.97,0.212,0.932,0.497,0.524
16,P003,Beauty,2026-03-10,Mumbai,Supplier D,42.0,421.0,59.0,9.0,2130.86,No,89496.12,0.1,Normal,50.08,0.347,0.945,0.398,0.282
17,P003,Home,2026-03-19,Nashik,Supplier D,85.0,427.0,39.0,14.0,3824.06,No,325045.1,0.199,Normal,50.08,0.712,0.959,0.646,0.522
18,P001,Stationery,2026-03-08,Nagpur,Supplier B,59.0,231.0,41.0,9.0,2747.29,No,162090.11,0.255,Normal,69.08,0.492,0.513,0.398,0.37
19,P008,Grocery,2026-01-13,Ahmedabad,Supplier A,52.0,312.0,18.0,3.0,4136.47,No,215096.44,0.167,Normal,52.1,0.432,0.697,0.099,0.567
20,P007,Home,2026-02-24,Pune,Supplier D,6.0,343.0,245.0,12.0,2084.6,Yes,12507.6,0.017,Normal,34.97,0.042,0.768,0.547,0.276
21,P005,Grocery,2026-03-30,Nagpur,Supplier C,55.0,117.0,122.0,6.0,2909.44,No,160019.2,0.47,Normal,67.9,0.458,0.253,0.248,0.393
22,P001,Electronics,2026-02-25,Surat,Supplier A,36.0,134.0,210.0,7.0,4520.19,No,162726.84,0.269,Normal,69.08,0.297,0.292,0.298,0.621
23,P008,Stationery,2026-01-17,Surat,Supplier D,80.0,433.0,97.0,9.0,1733.7,No,138696.0,0.185,Normal,52.1,0.669,0.973,0.398,0.226
24,P008,Grocery,2026-01-06,Mumbai,Supplier C,41.0,335.0,46.0,1.0,3436.56,No,140898.96,0.122,Normal,52.1,0.339,0.749,0.0,0.468
25,P005,Electronics,2026-03-15,Ahmedabad,Supplier D,5.0,207.0,190.0,8.0,1462.07,No,7310.35,0.024,Normal,67.9,0.034,0.458,0.348,0.188
26,P001,Stationery,2026-02-14,Ahmedabad,Supplier C,28.0,53.0,72.0,4.0,2387.76,No,66857.28,0.528,Normal,69.08,0.229,0.107,0.149,0.319
27,P004,Grocery,2026-02-25,Nagpur,Supplier A,9.0,365.0,154.0,8.0,1937.7,No,17439.3,0.025,Normal,58.87,0.068,0.818,0.348,0.255
28,P008,Stationery,2026-02-09,Nagpur,Supplier D,66.0,7.0,143.0,9.0,899.86,No,59390.76,9.429,High,52.1,0.551,0.002,0.398,0.108
29,P003,Beauty,2026-03-20,Mumbai,Supplier A,21.0,292.0,233.0,8.0,3993.71,No,83867.91,0.072,Normal,50.08,0.169,0.651,0.348,0.547
30,P007,Stationery,2026-03-12,Nagpur,Supplier C,3.0,164.0,52.0,6.0,4291.36,No,12874.08,0.018,Normal,34.97,0.017,0.36,0.248,0.589
31,P004,Grocery,2026-03-04,Surat,Supplier C,47.0,438.0,214.0,13.0,1531.96,Yes,72002.12,0.107,Normal,58.87,0.39,0.984,0.596,0.197
32,P005,Beauty,2026-01-03,Ahmedabad,Supplier C,108.0,20.0,246.0,6.0,3676.71,No,397084.68,5.4,High,67.9,0.907,0.032,0.248,0.502
33,P005,Electronics,2026-02-07,Ahmedabad,Supplier D,78.0,178.0,93.0,1.0,3490.88,No,272288.64,0.438,Normal,67.9,0.653,0.392,0.0,0.475
34,P008,Grocery,2026-03-28,Nashik,Supplier B,9.0,254.0,205.0,7.0,3674.13,No,33067.17,0.035,Normal,52.1,0.068,0.565,0.298,0.501
35,P006,Beauty,2026-02-16,Surat,Supplier C,22.0,395.0,86.0,5.0,4366.64,Yes,96066.08,0.056,Normal,72.6,0.178,0.886,0.199,0.599
36,P001,Stationery,2026-01-10,Pune,Supplier D,12.0,89.0,240.0,12.0,2273.9,Yes,27286.8,0.135,Normal,69.08,0.093,0.189,0.547,0.303
37,P001,Electronics,2026-02-05,Nashik,Supplier C,65.0,155.0,59.0,2.0,3043.8,Yes,197847.0,0.419,Normal,69.08,0.542,0.339,0.05,0.412
38,P008,Beauty,2026-01-16,Nashik,Supplier D,11.0,397.0,71.0,14.0,276.35,No,3039.85,0.028,Normal,52.1,0.085,0.891,0.646,0.019
39,P006,Grocery,2026-01-21,Mumbai,Supplier B,106.0,406.0,214.0,11.0,2222.15,No,235547.9,0.261,Normal,72.6,0.89,0.911,0.497,0.295
40,P001,Stationery,2026-02-02,Nashik,Supplier D,114.0,36.0,191.0,11.0,2766.64,No,315396.96,3.167,High,69.08,0.958,0.068,0.497,0.373
41,P004,Stationery,2026-01-22,Pune,Supplier C,34.0,303.0,172.0,9.0,572.38,No,19460.92,0.112,Normal,58.87,0.28,0.677,0.398,0.061
42,P006,Stationery,2026-03-12,Mumbai,Supplier B,28.0,334.0,122.0,4.0,654.18,Yes,18317.04,0.084,Normal,72.6,0.229,0.747,0.149,0.073
43,P001,Home,2026-03-26,Mumbai,Supplier A,32.0,352.0,207.0,10.0,2720.91,No,87069.12,0.091,Normal,69.08,0.263,0.788,0.447,0.366
44,P003,Grocery,2026-01-01,Surat,Supplier A,12.0,362.0,90.0,6.0,1446.63,Yes,17359.56,0.033,Normal,50.08,0.093,0.811,0.248,0.185
45,P001,Beauty,2026-03-26,Ahmedabad,Supplier C,57.5,420.0,173.0,12.0,3070.82,No,176572.15,0.137,Normal,69.08,0.479,0.943,0.547,0.416
46,P002,Beauty,2026-02-03,Nagpur,Supplier B,101.0,319.0,78.0,5.0,2242.28,No,226470.28,0.317,Normal,67.8,0.847,0.713,0.199,0.298
47,P007,Home,2026-01-22,Mumbai,Supplier B,34.0,333.0,36.0,8.0,3186.17,No,108329.78,0.102,Normal,34.97,0.28,0.745,0.348,0.432
48,P007,Stationery,2026-03-08,Ahmedabad,Supplier B,10.0,427.0,183.0,4.0,3271.5,Yes,32715.0,0.023,Normal,34.97,0.076,0.959,0.149,0.444
49,P005,Electronics,2026-01-12,Ahmedabad,Supplier A,94.0,182.0,27.0,11.0,1286.11,No,120894.34,0.516,Normal,67.9,0.788,0.401,0.497,0.163
50,P007,Beauty,2026-02-17,Ahmedabad,Supplier B,79.0,243.0,61.0,10.0,1337.78,Yes,105684.62,0.325,Normal,34.97,0.661,0.54,0.447,0.17
51,P002,Electronics,2026-01-12,Mumbai,Supplier C,67.0,389.0,178.0,7.0,4624.84,No,309864.28,0.172,Normal,67.8,0.559,0.872,0.298,0.636
52,P008,Grocery,2026-02-06,Mumbai,Supplier B,74.0,292.0,95.0,7.0,2929.42,No,216777.08,0.253,Normal,52.1,0.619,0.651,0.298,0.396
53,P004,Electronics,2026-03-14,Nashik,Supplier B,76.0,231.0,206.0,14.0,3243.58,Yes,246512.08,0.329,Normal,58.87,0.636,0.513,0.646,0.44
54,P004,Stationery,2026-02-13,Surat,Supplier D,119.0,101.0,220.0,11.0,1885.85,No,224416.15,1.178,High,58.87,1.0,0.216,0.497,0.248
55,P001,Beauty,2026-03-13,Nagpur,Supplier C,66.0,12.0,235.0,6.0,1604.25,Yes,105880.5,5.5,High,69.08,0.551,0.014,0.248,0.208
56,P004,Grocery,2026-02-23,Mumbai,Supplier B,99.0,261.0,13.0,10.0,2720.91,No,269370.09,0.379,Normal,58.87,0.831,0.581,0.447,0.366
57,P001,Home,2026-01-08,Ahmedabad,Supplier C,64.0,320.0,201.0,12.0,1143.27,No,73169.28,0.2,Normal,69.08,0.534,0.715,0.547,0.142
58,P002,Electronics,2026-01-22,Nagpur,Supplier A,82.0,163.0,88.0,3.0,3574.21,Yes,293085.22,0.503,Normal,67.8,0.686,0.358,0.099,0.487
59,P001,Home,2026-01-20,Nashik,Supplier C,6.0,255.0,13.0,8.0,2288.77,Yes,13732.62,0.024,Normal,69.08,0.042,0.567,0.348,0.305
60,P001,Electronics,2026-03-28,Surat,Supplier B,112.0,437.0,59.0,8.0,4738.43,No,530704.16,0.256,Normal,69.08,0.941,0.982,0.348,0.652
61,P007,Home,2026-02-15,Ahmedabad,Supplier C,60.0,409.0,144.0,7.0,3521.22,No,211273.2,0.147,Normal,34.97,0.5,0.918,0.298,0.48
62,P008,Grocery,2026-02-20,Pune,Supplier D,39.0,197.0,96.0,12.0,4379.92,Yes,170816.88,0.198,Normal,52.1,0.322,0.435,0.547,0.601
63,P006,Grocery,2026-03-23,Surat,Supplier B,96.0,320.0,231.0,4.0,4576.75,No,439368.0,0.3,Normal,72.6,0.805,0.715,0.149,0.629
64,P005,Beauty,2026-02-03,Pune,Supplier C,51.0,237.0,193.0,3.0,3153.05,Yes,160805.55,0.215,Normal,67.9,0.424,0.526,0.099,0.427
65,P005,Grocery,2026-01-09,Ahmedabad,Supplier A,15.0,263.0,209.0,1.0,4675.59,Yes,70133.85,0.057,Normal,67.9,0.119,0.585,0.0,0.643
66,P005,Electronics,2026-03-21,Pune,Supplier D,119.0,203.0,75.0,13.0,2815.27,No,335017.13,0.586,Normal,67.9,1.0,0.449,0.596,0.379
67,P008,Electronics,2026-03-16,Pune,Supplier C,82.0,167.0,87.0,13.0,1567.65,No,128547.3,0.491,Normal,52.1,0.686,0.367,0.596,0.203
68,P008,Grocery,2026-01-19,Nashik,Supplier B,87.0,373.0,191.0,11.0,4262.33,Yes,370822.71,0.233,Normal,52.1,0.729,0.836,0.497,0.585
69,P003,Grocery,2026-03-01,Surat,Supplier B,17.0,182.0,93.0,5.0,3593.41,No,61087.97,0.093,Normal,50.08,0.136,0.401,0.199,0.49
70,P002,Grocery,2026-03-23,Nagpur,Supplier B,113.0,82.0,112.0,12.0,1789.22,No,202181.86,1.378,High,67.8,0.949,0.173,0.547,0.234
71,P004,Beauty,2026-01-01,Mumbai,Supplier A,6.0,370.0,206.0,10.0,3346.33,No,20077.98,0.016,Normal,58.87,0.042,0.829,0.447,0.455
72,P001,Home,2026-03-14,Surat,Supplier A,114.0,251.0,67.0,4.0,3766.12,No,429337.68,0.454,Normal,69.08,0.958,0.558,0.149,0.514
73,P006,Electronics,2026-01-14,Pune,Supplier D,40.0,33.0,218.0,1.0,1009.63,No,40385.2,1.212,High,72.6,0.331,0.062,0.0,0.123
74,P008,Home,2026-01-25,Ahmedabad,Supplier D,85.0,231.0,46.0,2.0,1297.67,No,110301.95,0.368,Normal,52.1,0.712,0.513,0.05,0.164
75,P008,Home,2026-01-13,Surat,Supplier A,3.0,195.0,85.0,1.0,2563.07,No,7689.21,0.015,Normal,52.1,0.017,0.431,0.0,0.344
76,P005,Stationery,2026-02-19,Mumbai,Supplier B,23.0,308.0,221.0,13.0,1964.18,No,45176.14,0.075,Normal,67.9,0.186,0.688,0.596,0.259
77,P008,Home,2026-03-09,Nashik,Supplier A,5.0,153.0,210.0,12.0,3003.45,No,15017.25,0.033,Normal,52.1,0.034,0.335,0.547,0.406
78,P001,Beauty,2026-03-23,Nashik,Supplier A,111.0,150.0,73.0,14.0,7192.0475,Yes,798317.27,0.74,Normal,69.08,0.932,0.328,0.646,1.0
79,P006,Stationery,2026-03-17,Surat,Supplier A,98.0,300.0,108.0,4.0,4592.07,No,450022.86,0.327,Normal,72.6,0.822,0.67,0.149,0.631
80,P005,Electronics,2026-01-02,Nagpur,Supplier B,104.0,343.0,89.0,3.0,4334.89,No,450828.56,0.303,Normal,67.9,0.873,0.768,0.099,0.595
81,P004,Grocery,2026-02-07,Pune,Supplier C,52.0,92.0,198.0,1.0,2842.97,No,147834.44,0.565,Normal,58.87,0.432,0.196,0.0,0.383
82,P002,Stationery,2026-02-07,Mumbai,Supplier D,97.0,19.0,114.0,14.0,4154.2,No,402957.4,5.105,High,67.8,0.814,0.03,0.646,0.569
83,P004,Grocery,2026-02-24,Mumbai,Supplier B,89.0,21.0,164.0,6.0,1798.3,Yes,160048.7,4.238,High,58.87,0.746,0.034,0.248,0.235
84,P004,Stationery,2026-03-15,Ahmedabad,Supplier C,50.0,150.0,141.0,9.0,2955.13,Yes,147756.5,0.333,Normal,58.87,0.415,0.328,0.398,0.399
85,P004,Beauty,2026-03-25,Mumbai,Supplier B,55.0,140.0,163.0,4.0,1873.51,Yes,103043.05,0.393,Normal,58.87,0.458,0.305,0.149,0.246
86,P002,Home,2026-02-13,Nashik,Supplier C,11.0,322.0,230.0,10.0,4683.89,No,51522.79,0.034,Normal,67.8,0.085,0.72,0.447,0.644
87,P004,Stationery,2026-02-20,Pune,Supplier C,17.0,332.0,140.0,3.0,3162.0,No,53754.0,0.051,Normal,58.87,0.136,0.743,0.099,0.429
88,P004,Grocery,2026-03-26,Pune,Supplier D,42.0,247.0,171.0,5.0,3624.77,No,152240.34,0.17,Normal,58.87,0.347,0.549,0.199,0.494
89,P005,Electronics,2026-03-08,Mumbai,Supplier B,97.0,40.0,115.0,11.0,4488.87,No,435420.39,2.425,High,67.9,0.814,0.077,0.497,0.617
90,P004,Home,2026-01-09,Nashik,Supplier D,116.0,373.0,117.0,12.0,2292.58,No,265939.28,0.311,Normal,58.87,0.975,0.836,0.547,0.305
91,P002,Stationery,2026-03-04,Mumbai,Supplier D,44.0,410.0,232.0,10.0,3129.03,No,137677.32,0.107,Normal,67.8,0.364,0.92,0.447,0.424
92,P004,Electronics,2026-03-26,Surat,Supplier A,57.5,354.0,73.0,6.0,3926.93,No,225798.47,0.162,Normal,58.87,0.479,0.793,0.248,0.537
93,P007,Electronics,2026-02-27,Ahmedabad,Supplier C,20.0,163.0,96.0,2.0,344.13,Yes,6882.6,0.123,Normal,34.97,0.161,0.358,0.05,0.029
94,P002,Stationery,2026-02-18,Pune,Supplier A,19.0,78.0,35.0,8.0,4147.49,No,78802.31,0.244,Normal,67.8,0.153,0.164,0.348,0.568
95,P006,Grocery,2026-03-16,Nashik,Supplier D,45.0,190.0,51.0,7.0,1889.27,Yes,85017.15,0.237,Normal,72.6,0.373,0.419,0.298,0.248
96,P002,Electronics,2026-02-02,Nashik,Supplier D,83.0,50.0,96.0,7.0,1364.35,No,113241.05,1.66,High,67.8,0.695,0.1,0.298,0.174
97,P006,Home,2026-03-08,Ahmedabad,Supplier D,58.0,445.0,245.0,13.0,2115.95,No,122725.1,0.13,Normal,72.6,0.483,1.0,0.596,0.28
98,P002,Electronics,2026-01-23,Ahmedabad,Supplier A,1.0,373.0,145.0,12.0,451.45,No,451.45,0.003,Normal,67.8,0.0,0.836,0.547,0.044
99,P008,Beauty,2026-03-09,Ahmedabad,Supplier D,13.0,142.0,34.0,4.0,4921.13,No,63974.69,0.092,Normal,52.1,0.102,0.31,0.149,0.678
100,P008,Electronics,2026-02-11,Nagpur,Supplier D,46.0,134.0,233.0,14.0,2481.31,No,114140.26,0.343,Normal,52.1,0.381,0.292,0.646,0.332
101,P003,Grocery,2026-01-29,Pune,Supplier D,22.0,409.0,71.0,10.0,2789.54,No,61369.88,0.054,Normal,50.08,0.178,0.918,0.447,0.376
102,P004,Beauty,2026-02-23,Surat,Supplier D,17.0,21.0,84.0,10.0,903.76,No,15363.92,0.81,Normal,58.87,0.136,0.034,0.447,0.108
103,P003,Home,2026-03-21,Pune,Supplier A,47.0,148.0,217.0,8.0,1718.83,No,80785.01,0.318,Normal,50.08,0.39,0.323,0.348,0.224
104,P003,Electronics,2026-02-15,Mumbai,Supplier A,92.0,111.0,68.0,10.0,3226.93,No,296877.56,0.829,Normal,50.08,0.771,0.239,0.447,0.438
105,P006,Electronics,2026-03-15,Pune,Supplier C,61.0,223.0,249.0,9.0,4478.0,No,273158.0,0.274,Normal,72.6,0.508,0.494,0.398,0.615
106,P008,Stationery,2026-02-11,Mumbai,Supplier D,83.0,126.0,41.0,9.0,4774.02,Yes,396243.66,0.659,Normal,52.1,0.695,0.273,0.398,0.657
107,P004,Stationery,2026-02-06,Nashik,Supplier B,16.0,40.0,136.0,7.0,4955.62,Yes,79289.92,0.4,Normal,58.87,0.127,0.077,0.298,0.683
108,P004,Beauty,2026-02-10,Ahmedabad,Supplier A,107.0,24.0,163.0,5.0,1114.36,No,119236.52,4.458,High,58.87,0.898,0.041,0.199,0.138
109,P003,Grocery,2026-01-13,Nashik,Supplier A,93.0,74.0,96.0,8.0,2250.79,No,209323.47,1.257,High,50.08,0.78,0.155,0.348,0.299
110,P008,Home,2026-02-06,Nagpur,Supplier C,20.0,338.0,46.0,5.0,3845.83,No,76916.6,0.059,Normal,52.1,0.161,0.756,0.199,0.526
111,P001,Stationery,2026-03-28,Pune,Supplier D,75.0,71.0,96.0,9.0,1236.06,No,92704.5,1.056,High,69.08,0.627,0.148,0.398,0.155
112,P005,Electronics,2026-03-11,Ahmedabad,Supplier A,112.0,237.0,105.0,1.0,491.78,No,55079.36,0.473,Normal,67.9,0.941,0.526,0.0,0.05
113,P006,Stationery,2026-03-01,Mumbai,Supplier C,118.0,299.0,104.0,1.0,2740.07,No,323328.26,0.395,Normal,72.6,0.992,0.667,0.0,0.369
114,P004,Home,2026-03-21,Nagpur,Supplier B,45.0,36.0,206.0,10.0,4951.88,Yes,222834.6,1.25,High,58.87,0.373,0.068,0.447,0.682
115,P002,Home,2026-01-04,Surat,Supplier B,108.0,16.0,207.0,4.0,3932.24,No,424681.92,6.75,High,67.8,0.907,0.023,0.149,0.538
116,P002,Electronics,2026-02-07,Nagpur,Supplier B,90.0,219.0,193.0,6.0,2552.51,No,229725.9,0.411,Normal,67.8,0.754,0.485,0.248,0.342
117,P005,Beauty,2026-03-28,Nagpur,Supplier D,65.0,324.0,166.0,6.0,2077.44,No,135033.6,0.201,Normal,67.9,0.542,0.724,0.248,0.275
