Record_ID,Product_ID,Product_Category,Sales_Date,Store_Location,Supplier,Quantity_Sold,Inventory_Level,Order_Quantity,Lead_Time_Days,Unit_Price_INR,Promotion
1,P008,Stationery,2026-02-19,Ahmedabad,Supplier C,77.0,172.0,51,3.0,3525.65,No
2,P005,Beauty,2026-01-19,Surat,Supplier A,53.0,242.0,116,7.0,1593.08,Yes
3,P002,Grocery,2026-02-26,Pune,Supplier A,25.0,223.0,98,9.0,1592.31,No
4,P007,Home,2026-01-22,Mumbai,Supplier D,3.0,357.0,88,5.0,4831.27,No
5,P004,Stationery,2026-02-20,Pune,Supplier A,72.0,308.0,67,8.0,1579.76,No
6,P004,Stationery,2026-01-23,Mumbai,Supplier B,93.0,255.0,237,9.0,629.26,No
7,P008,Grocery,2026-01-19,Nashik,Supplier A,,132.0,89,11.0,430.86,No
8,P008,Grocery,2026-03-11,Nashik,Supplier A,72.0,82.0,20,4.0,3646.77,No
9,P005,Home,2026-01-06,Mumbai,Supplier B,51.0,300.0,171,4.0,1138.95,No
10,P002,Electronics,2026-01-06,Nashik,Supplier A,61.0,400.0,84,12.0,2033.82,No
11,P007,Stationery,2026-03-12,Ahmedabad,Supplier A,-15.0,358.0,137,5.0,4018.24,No
12,P008,Home,2026-01-30,Ahmedabad,Supplier D,36.0,298.0,244,1.0,4208.54,No
13,P001,Stationery,2026-01-17,Pune,Supplier C,97.0,315.0,58,14.0,1142.3,No
14,P002,Electronics,2026-02-12,Nashik,Supplier A,115.0,93.0,229,3.0,2202.23,Yes
15,P007,Home,2026-02-16,Mumbai,Supplier C,26.0,415.0,54,11.0,3837.77,No
16,P003,Beauty,2026-03-10,Mumbai,Supplier D,42.0,421.0,59,9.0,2130.86,No
17,P003,Home,2026-03-19,Nashik,Supplier D,85.0,427.0,39,14.0,3824.06,No
18,P001,Stationery,2026-03-08,Nagpur,Supplier B,59.0,,41,9.0,2747.29,No
19,P008,Grocery,2026-01-13,Ahmedabad,Supplier A,52.0,312.0,18,3.0,4136.47,No
20,P007,Home,2026-02-24,Pune,Supplier D,6.0,343.0,245,12.0,2084.6,Yes
21,P005,Grocery,2026-03-30,Nagpur,Supplier C,55.0,117.0,122,6.0,2909.44,No
22,P001,electronics ,2026-02-25,Surat,Supplier A,36.0,134.0,210,7.0,4520.19,No
23,P008,Stationery,2026-01-17,Surat,Supplier D,80.0,433.0,97,9.0,1733.7,No
24,P008,Grocery,2026-01-06,Mumbai,Supplier C,41.0,335.0,46,1.0,3436.56,No
25,P005,Electronics,2026-03-15,Ahmedabad,Supplier D,5.0,207.0,190,8.0,1462.07,No
26,P001,Stationery,2026-02-14,Ahmedabad,Supplier C,28.0,53.0,72,4.0,2387.76,No
27,P004,Grocery,2026-02-25,Nagpur,Supplier A,9.0,365.0,154,8.0,1937.7,No
28,P008,Stationery,2026-02-09,Nagpur,Supplier D,66.0,7.0,143,9.0,899.86,No
29,P003,Beauty,2026-03-20,Mumbai,Supplier A,21.0,292.0,233,,3993.71,No
30,P007,Stationery,2026-03-12,Nagpur,Supplier C,3.0,164.0,52,6.0,4291.36,No
31,P004,Grocery,2026-03-04,Surat,Supplier C,47.0,438.0,214,13.0,1531.96,Yes
32,P005,Beauty,2026-01-03,Ahmedabad,Supplier C,108.0,20.0,246,6.0,3676.71,No
33,P005,Electronics,2026-02-07,Ahmedabad,Supplier D,78.0,178.0,93,1.0,3490.88,No
34,P008,Grocery,2026-03-28,Nashik,Supplier B,9.0,254.0,205,7.0,3674.13,No
35,P006,Beauty,2026-02-16,Surat,Supplier C,22.0,395.0,86,5.0,4366.64,Yes
36,P001,Stationery,2026-01-10,Pune,Supplier D,12.0,89.0,240,12.0,2273.9,Yes
37,P001,Electronics,2026-02-05,Nashik,Supplier C,65.0,155.0,59,2.0,3043.8,Yes
38,P008,Beauty,2026-01-16,Nashik,Supplier D,11.0,397.0,71,14.0,276.35,No
39,P006,Grocery,2026-01-21,Mumbai,Supplier B,106.0,406.0,214,11.0,2222.15,No
40,P001,Stationery,2026-02-02,Nashik,Supplier D,114.0,36.0,191,11.0,2766.64,No
41,P004,Stationery,2026-01-22,Pune,Supplier C,34.0,303.0,172,9.0,572.38,No
42,P006,Stationery,2026-03-12,Mumbai,Supplier B,28.0,334.0,122,4.0,654.18,Yes
43,P001,Home,2026-03-26,Mumbai,Supplier A,32.0,352.0,207,10.0,2720.91,No
44,P003,Grocery,2026-01-01,Surat,Supplier A,12.0,362.0,90,6.0,1446.63,Yes
